date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:56	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-5f63aa0f954bd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/github.png	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/github.png	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:56	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-5f63aa0f954bd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/bitbucket.png	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/bitbucket.png	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:56	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-5f63aa0f954bd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/dribbble.png	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/dribbble.png	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:57	772/772	---M--	200	added ('OK')	image/png	etag:%22304-5f63aa0f954bd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/dropbox.png	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/dropbox.png	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:57	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-5f63aa0f954bd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/mail_chimp.png	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/mail_chimp.png	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:57	1477/1477	---M--	200	added ('OK')	image/png	etag:%225c5-5f63aa0f954bd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/slack.png	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/brands/slack.png	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:57	10483/10483	---M--	200	added ('OK')	image/jpeg	etag:%2228f3-5f63aa0f9a2dd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/users/avatar-6.jpg	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/users/avatar-6.jpg	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:58	13535/13535	---M--	200	added ('OK')	image/jpeg	etag:%2234df-5f63aa0f9a2dd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/users/avatar-3.jpg	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:58	10282/10282	---M--	200	added ('OK')	image/jpeg	etag:%22282a-5f63aa0f9a2dd%22	https://themesbrand.com/minia-tailwindcss/layouts/assets/images/users/avatar-1.jpg	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/assets/images/users/avatar-1.jpg	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:58	103096/103096	---M-Z	200	added ('OK')	text/html	etag:%22192b8-5f6898d0caec3-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/apps-contacts-profile.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/apps-contacts-profile.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:58	9528/9528	---M-Z	200	added ('OK')	text/html	etag:%222538-5f63aa0fdb9bd-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/lock-screen.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/lock-screen.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:58	8856/8856	---M-Z	200	added ('OK')	text/html	etag:%222298-5f63aa0fdb9bd-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/logout.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/logout.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:59	151161/151161	---M-Z	200	added ('OK')	text/html	etag:%2224e79-5f6898d0c9f23-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/app-chat.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/app-chat.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:47:59	123999/123999	---M-Z	200	added ('OK')	text/html	etag:%221e45f-5f6898d0caec3-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/apps-email-inbox.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/apps-email-inbox.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:00	85408/85408	---M-Z	200	added ('OK')	text/html	etag:%2214da0-5f6898d0caec3-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/apps-email-read.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/apps-email-read.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:00	76163/76163	---M-Z	200	added ('OK')	text/html	etag:%2212983-5f6898d0c9f23-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/app-calendar.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/app-calendar.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:00	124586/124586	---M-Z	200	added ('OK')	text/html	etag:%221e6aa-5f6898d0cbe63-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/apps-invoices-list.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/apps-invoices-list.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:00	75757/75757	---M-Z	200	added ('OK')	text/html	etag:%22127ed-5f6898d0cbe63-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/apps-invoices-detail.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/apps-invoices-detail.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:00	106983/106983	---M-Z	200	added ('OK')	text/html	etag:%221a1e7-5f6898d0caec3-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/apps-contacts-grid.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/apps-contacts-grid.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:01	120131/120131	---M-Z	200	added ('OK')	text/html	etag:%221d543-5f6898d0caec3-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/apps-contacts-list.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/apps-contacts-list.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:01	83490/83490	---M-Z	200	added ('OK')	text/html	etag:%2214622-5f6898d0caec3-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/apps-blog-grid.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/apps-blog-grid.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:01	95110/95110	---M-Z	200	added ('OK')	text/html	etag:%2217386-5f6898d0caec3-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/apps-blog-list.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/apps-blog-list.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:01	100278/100278	---M-Z	200	added ('OK')	text/html	etag:%22187b6-5f6898d0c9f23-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/apps-blog-detail.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/apps-blog-detail.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:01	12908/12908	---M-Z	200	added ('OK')	text/html	etag:%22326c-5f63aa0fdb9bd-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/login.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/login.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:02	12696/12696	---M-Z	200	added ('OK')	text/html	etag:%223198-5f63aa0fdb9bd-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/register.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/register.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:02	9383/9383	---M-Z	200	added ('OK')	text/html	etag:%2224a7-5f63aa0fdb9bd-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/recoverpw.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/recoverpw.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:02	8462/8462	---M-Z	200	added ('OK')	text/html	etag:%22210e-5f63aa0fd8add-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/confirm-mail.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/confirm-mail.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:02	8791/8791	---M-Z	200	added ('OK')	text/html	etag:%222257-5f63aa0fd8add-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/email-verification.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/email-verification.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:02	10805/10805	---M-Z	200	added ('OK')	text/html	etag:%222a35-5f63aa0fdc95d-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/two-step-verification.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/two-step-verification.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:03	67407/67407	---M-Z	200	added ('OK')	text/html	etag:%221074f-5f6898d0dd7a5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/starter.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/starter.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:03	7182/7182	---M-Z	200	added ('OK')	text/html	etag:%221c0e-5f63aa0fdb9bd-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/maintenance.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/maintenance.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:03	8117/8117	---M-Z	200	added ('OK')	text/html	etag:%221fb5-5f6898d0d9924-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/coming-soon.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/coming-soon.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:03	91222/91222	---M-Z	200	added ('OK')	text/html	etag:%2216456-5f6898d0de745-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/timeline.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/timeline.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:04	75956/75956	---M-Z	200	added ('OK')	text/html	etag:%22128b4-5f6898d0da8c5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/faqs.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/faqs.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:04	100509/100509	---M-Z	200	added ('OK')	text/html	etag:%221889d-5f6898d0dd7a5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/pricing.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/pricing.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:04	2635/2635	---M-Z	200	added ('OK')	text/html	etag:%22a4b-5f6898d0c9f23-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/404.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/404.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:04	2635/2635	---M-Z	200	added ('OK')	text/html	etag:%22a4b-5f6898d0c9f23-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/500.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/500.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:05	120032/120032	---M-Z	200	added ('OK')	text/html	etag:%221d4e0-5f6898d0c9f23-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/alerts.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/alerts.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:05	131284/131284	---M-Z	200	added ('OK')	text/html	etag:%22200d4-5f6898d0d8984-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/buttons.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/buttons.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:05	101798/101798	---M-Z	200	added ('OK')	text/html	etag:%2218da6-5f6898d0d8984-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/cards.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/cards.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:05	159962/159962	---M-Z	200	added ('OK')	text/html	etag:%22270da-5f6898d0d9924-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/dropdown.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/dropdown.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:06	101258/101258	---M-Z	200	added ('OK')	text/html	etag:%2218b8a-5f6898d0da8c5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/flexbox&grid.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/flexbox&grid.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:06	73540/73540	---M-Z	200	added ('OK')	text/html	etag:%2211f44-5f6898d0dd7a5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/sizing.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/sizing.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:06	87479/87479	---M-Z	200	added ('OK')	text/html	etag:%22155b7-5f6898d0d8984-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/avatars.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/avatars.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:06	140351/140351	---M-Z	200	added ('OK')	text/html	etag:%222243f-5f6898d0dd7a5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/modals.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/modals.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:06	87210/87210	---M-Z	200	added ('OK')	text/html	etag:%22154aa-5f6898d0dd7a5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/progress.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/progress.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:07	130213/130213	---M-Z	200	added ('OK')	text/html	etag:%221fca5-5f6898d0de745-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/tabs&accordions.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/tabs&accordions.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:07	73992/73992	---M-Z	200	added ('OK')	text/html	etag:%2212108-5f6898d0df6e5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/typography.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/typography.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:07	82824/82824	---M-Z	200	added ('OK')	text/html	etag:%2214388-5f6898d0de745-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/toasts.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/toasts.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:07	120968/120968	---M-Z	200	added ('OK')	text/html	etag:%221d888-5f6898d0db865-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/general.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/general.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:08	104130/104130	---M-Z	200	added ('OK')	text/html	etag:%22196c2-5f6898d0d9924-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/colors.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/colors.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:08	80923/80923	---M-Z	200	added ('OK')	text/html	etag:%2213c1b-5f6898d0df6e5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/utilities.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/utilities.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:08	75039/75039	---M-Z	200	added ('OK')	text/html	etag:%221251f-5f6898d0d9924-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/extended-rangeslider.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/extended-rangeslider.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:09	76983/76983	---M-Z	200	added ('OK')	text/html	etag:%2212cb7-5f6898d0d9924-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/extended-sweet-alert.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/extended-sweet-alert.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:09	72789/72789	---M-Z	200	added ('OK')	text/html	etag:%2211c55-5f6898d0d9924-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/extended-lightbox.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/extended-lightbox.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:09	72480/72480	---M-Z	200	added ('OK')	text/html	etag:%2211b20-5f6898d0d9924-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/extended-notifications.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/extended-notifications.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:10	90241/90241	---M-Z	200	added ('OK')	text/html	etag:%2216081-5f6898d0da8c5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/form-validation.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/form-validation.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:10	70494/70494	---M-Z	200	added ('OK')	text/html	etag:%221135e-5f6898d0d9924-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/extended-rating.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/extended-rating.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:10	118949/118949	---M-Z	200	added ('OK')	text/html	etag:%221d0a5-5f6898d0da8c5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/form-elements.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/form-elements.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:11	97297/97297	---M-Z	200	added ('OK')	text/html	etag:%2217c11-5f6898d0da8c5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/form-advanced.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/form-advanced.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:11	68161/68161	---M-Z	200	added ('OK')	text/html	etag:%2210a41-5f6898d0da8c5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/form-editors.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/form-editors.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:12	69234/69234	---M-Z	200	added ('OK')	text/html	etag:%2210e72-5f6898d0da8c5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/file-uploads.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/file-uploads.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:12	85979/85979	---M-Z	200	added ('OK')	text/html	etag:%2214fdb-5f6898d0db865-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/form-wizard.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/form-wizard.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:12	71904/71904	---M-Z	200	added ('OK')	text/html	etag:%22118e0-5f6898d0da8c5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/form-mask.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/form-mask.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:12	173904/173904	---M-Z	200	added ('OK')	text/html	etag:%222a750-5f6898d0dd7a5-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/tables-basic.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/tables-basic.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:13	178198/178198	---M-Z	200	added ('OK')	text/html	etag:%222b816-5f6898d0de745-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/tables-datatable.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/tables-datatable.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:13	103838/103838	---M-Z	200	added ('OK')	text/html	etag:%221959e-5f6898d0de745-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/tables-responsive.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/tables-responsive.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:13	74630/74630	---M-Z	200	added ('OK')	text/html	etag:%2212386-5f6898d0de745-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/tables-editable.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/tables-editable.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:13	74837/74837	---M-Z	200	added ('OK')	text/html	etag:%2212455-5f6898d0d8984-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/charts-apex.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/charts-apex.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:13	73302/73302	---M-Z	200	added ('OK')	text/html	etag:%2211e56-5f6898d0d8984-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/charts-echart.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/charts-echart.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:14	71802/71802	---M-Z	200	added ('OK')	text/html	etag:%221187a-5f6898d0d8984-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/charts-chartjs.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/charts-chartjs.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
10:48:14	72521/72521	---M-Z	200	added ('OK')	text/html	etag:%2211b49-5f6898d0d8984-gzip%22	https://themesbrand.com/minia-tailwindcss/layouts/charts-knob.html	C:/BigPro/miniatailwind/themesbrand.com/minia-tailwindcss/layouts/charts-knob.html	(from https://themesbrand.com/minia-tailwindcss/layouts/index.html)
